thread_number,metadent_upper,metadent_lower,first_post_id,title,discovered_at
1777127672,+D4u,wXCD,wXCksNQaD,【緊急討論】エッヂがここまで過疎ってしまった理由wwwwwwwwwwww,2026-04-25T14:43:35.821Z
1777127642,fseF,Vep7,VepE.sog7,【朗報】みつどもえのみっちゃん、改めて見てみると普通に可愛い,2026-04-25T14:43:40.336Z
1777127633,+Yef,YkG3,YkGoO5cF3,【緊急】Netflixで見た方がいいもの,2026-04-25T14:43:42.567Z
1777127611,Nu1k,bAal,bAaP4kibl,「ピッチクロック導入して万が一試合時間延びたらどうすんだ！」←これ,2026-04-25T14:43:44.957Z
1777127596,zDow,8p5e,8p5fku/1e,西川龍馬（首位打者）.337  1 12 ←これＷＷＷＷＷＷＷＷＷ,2026-04-25T14:43:39.381Z
1777127551,Gw8e,Acgr,Acg0XCDQr,ゴールデンウィークのSpotifyジャム部★4,2026-04-25T14:43:41.356Z
1777127513,cv9r,OtK9,OtKzYqeF9,【パワプロ2026】どん底の中日ドラゴンズをエッヂフロントの戦略で優勝させる【6年目から】,2026-04-25T14:43:36.012Z
1777127489,hjlY,WWbR,WWboe/CXR,おっぱい見たい？,2026-04-25T14:43:43.774Z
1777127470,jjWl,qkuu,qkuJIZ/Pu,【BS14】黄泉のツガイ→春夏秋冬代行者 春の舞→NEEDY GIRL OVERDOSE→カナン様はあくまでチョロい,2026-04-25T14:43:35.018Z
1777127461,tcR1,Sv6n,Sv64IUGun,NBA、本日のプレーオフ結果wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,2026-04-25T14:43:40.956Z
1777127340,2pFB,tVKG,tVKooML2G,【MX】黄泉のツガイ→春夏秋冬代行者 春の舞→NEEDY GIRL OVERDOSE→カナン様はあくまでチョロい★7,2026-04-25T14:43:34.785Z
1777127244,1my8,XxRG,XxRruFNMG,Geminiでおっぱいの大きいコスプレイヤー作ってたら土曜日が終わってた,2026-04-25T14:43:43.978Z
1777127155,JjlR,Rz1I,Rz1ZiucfI,ファイナルファンタジーはオワコン！って言ってる人はSwitch 2で『FF14』が遊べるようになったらどうすんの？,2026-04-25T14:43:38.985Z
1777127139,t4cM,iT80,iT8xPEjl0,ワイ、パズドラ最難関ダンジョンを初日クリア,2026-04-25T14:25:50.237Z
1777127133,FpHQ,WHbe,WHbUw1K0e,【画像】ワイ、おっさんになってデスノートのこのシーンをようやく理解wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,2026-04-25T14:25:49.446Z
1777127127,oV/7,MsOH,MsOQouPKH,エッヂ哲学部,2026-04-25T14:25:49.246Z
1777127123,7wQM,6lSV,6lScdPHlV,ハンターハンター見てるけどカストロって強いんか？,2026-04-25T14:25:50.625Z
1777127118,tcR1,ikOD,ikOIm7DSD,【画像】ドジョウとエビを川で掬ってきて飼い始めたんやが,2026-04-25T14:25:50.048Z
1777127106,lzzo,Te3B,Te3SQqM2B,いまだにピッチャー返しがヒットになるNPBのシフトｗｗｗｗｗｗｗｗｗ,2026-04-25T14:25:51.237Z
1777127099,E31i,gzgV,gzg.KH1BV,バキのドリアン海王の最期あるやん？,2026-04-25T14:25:51.428Z
1777127079,vyDg,jcZz,jcZ.O7evz,ワイのデカチンみたい人いる？,2026-04-25T14:25:50.835Z
1777127078,fXtm,5Hji,5Hjv1ynwi,ヤラせじゃないパンチラってあるんか？,2026-04-25T14:25:49.658Z
1777127072,NNmc,b/OO,b/OUK2a3O,【悲報】「名古屋」、再開発事業が中止になりまくって終わるwwwwwwwwwwwwwwwwwwww,2026-04-25T14:25:51.041Z
1777127065,s8hI,9q2u,9q2jX1ptu,【悲報】サム・アルトマン(OpenAI CEO)、限界突破,2026-04-25T14:25:49.056Z
1777127058,N/Bf,9ULW,9ULLUpdxW,しまなみに朝日輝く・愛媛県立今治北高校の大学合格実績wwww 地元愛媛大学14名を中心に国公立65名合格,2026-04-25T14:25:49.861Z
1777127040,KoTd,ndx9,ndxP3JjW9,【画像】カメラマン「ん？メイウェザーどれや&#8943;あっ！これか！」,2026-04-25T14:25:50.426Z
1777127035,YcY+,rspM,rspPxe95M,【天才】フランス人「気温予測ギャンブル…？大穴の高温に賭けてドライヤー吹きかけたろ！」→600万円ゲットへWWWWWWWW,2026-04-25T14:23:58.970Z
1777127017,TmIv,QuS1,QuSXkyw81,絵文字でお人形さん遊びしてるやつのshow time…,2026-04-25T14:23:59.576Z
1777127016,CC8x,ZV8l,ZV8HiXKSl,死にたい&#129402;,2026-04-25T14:23:59.601Z
1777127007,xtBU,S6xz,S6xJK0X6z,｢香車｣とかいう駒、影が薄すぎる模様,2026-04-25T14:23:59.216Z
1777126995,yw5J,vGxY,vGxl9w5zY,ID:wXCksNQaD←こういうエッヂを汚すゴミ家族諸共死んでくれんかな,2026-04-25T14:23:59.850Z
1777126981,70P7,o7Ly,o7La9DAcy,【画像】参政党大好き大学生たちのオフ会、良すぎる,2026-04-25T14:23:59.115Z
1777126977,MGpY,IrzQ,IrzuBrdJQ,実家住みなんやが風俗行きたい,2026-04-25T14:24:00.161Z
1777126942,WrZb,GRXA,GRX6eRoEA,エッヂ G_N_U/L_i_n_u_x部,2026-04-25T14:24:00.380Z
1777126936,pMFf,fWL0,fWL4DMhX0,イッヌさん←こいつ,2026-04-25T14:24:00.404Z
1777126910,Fyii,gUIg,gUIe3DSfg,銀狼LV999完凸しようか迷ってるんやが有識者来てくれ,2026-04-25T14:23:59.802Z
1777126907,pleo,LUoD,LUok4OaND,花海祐芽について知ってる事,2026-04-25T14:23:59.015Z
1777126891,gYje,HfAh,HfApD7bZh,はっきり言う、プロ野球選手の50mのタイムにキレてるやつキモい,2026-04-25T14:24:00.254Z
1777126873,S4B9,SO7E,SO7VIFMtE,OPPO、史上最強のスペックスマホを出すもソフトウェアがイマイチｗｗｗｗｗｗｗｗｗｗｗｗ,2026-04-25T14:24:00.497Z
1777126871,QVSB,DKT1,DKTZhFKx1,&#129770;もきゅぴいきたよ,2026-04-25T14:24:00.519Z
1777126843,gFD6,YXZr,YXZprcEQr,&#129322;&#128298; ヒャア！切り刻んでやるぜぇ！,2026-04-25T14:24:00.570Z
1777126833,pMFf,11OE,11OqAdHQE,柴犬「めちゃくちゃアホです。かなり凶暴です。非常に頑固です。しつけ難易度Sです。吠えまくって近所トラブルになります」←この犬,2026-04-25T14:23:59.995Z
1777126810,nt1b,8U0z,8U0jdzP5z,FF14、ついにとうとうSwitch2でリリースへｗｗｗｗｗ,2026-04-25T14:24:00.356Z
1777126800,mvmb,ZJeE,ZJe0dnEvE,エッヂ以外で○○覇権やなというやつがいない件について,2026-04-25T14:24:00.594Z
1777126790,k/Z4,gJus,gJuHSJHUs,ChatGPTに匿名掲示板住人の画像を作らせた結果…,2026-04-25T14:24:00.331Z
1777126788,+D4u,wXCD,wXCksNQaD,【画像】自分の立てたスレが伸びなかったエッヂ民、承認欲求のあまり壊れてしまうwwwwwwwwww,2026-04-25T14:23:59.826Z
1777126769,JjlR,Rz1I,Rz1ZiucfI,【必見】Switchで遊べるRPG限定 神ゲーtier表作ったぞ【納得】,2026-04-25T14:23:59.901Z
1777126754,JGK/,HH5D,HH53ufrBD,授業参観日の友人「お前の姉ちゃん来てるぞ！」ワイ「はぁ…」,2026-04-25T14:24:00.304Z
1777126748,hjlY,WWbR,WWboe/CXR,私のおっぱい見たい人いる？,2026-04-25T14:23:59.488Z
1777126719,keOg,RGxv,RGxCWnGJv,アニメ日常が14年前かぁ&#8943;,2026-04-25T14:23:59.925Z
1777126692,R8lQ,sJ7D,sJ7KdVbQD,&#129770;君消す&#128298;,2026-04-25T14:23:59.393Z
